step,reward,terminated,truncated,agent_position,target_position,target_drift_direction,action,model_mode
0,0.0,False,False,1,2,1,Move right.,openrouter_large
1,0.0,False,False,2,3,1,Move right.,openrouter_large
2,0.0,False,False,3,4,1,Move right.,openrouter_large
3,0.0,False,False,4,5,1,Move right.,openrouter_large
4,0.0,False,False,5,6,1,Move right.,openrouter_large
5,0.0,False,False,6,7,1,Move right.,openrouter_large
6,0.0,False,False,7,8,1,Move right.,openrouter_large
7,0.0,False,False,8,9,1,Move right.,openrouter_large
8,0.0,False,False,9,10,1,Move right.,openrouter_large
9,0.0,False,False,10,9,-1,Move right.,openrouter_large
10,0.0,False,False,9,8,-1,Move left.,openrouter_large
11,0.0,False,False,8,7,-1,Move left.,openrouter_large
12,0.0,False,False,7,6,-1,Move left.,openrouter_large
13,0.0,False,False,6,5,-1,Move left.,openrouter_large
14,0.0,False,False,5,4,-1,Move left.,openrouter_large
15,0.0,False,False,4,3,-1,Move left.,openrouter_large
16,0.0,False,False,3,2,-1,Move left.,openrouter_large
17,0.0,False,False,2,1,-1,Move left.,openrouter_large
18,0.0,False,False,1,0,-1,Move left.,openrouter_large
19,0.0,False,False,0,-1,-1,Move left.,openrouter_large
20,0.0,False,False,-1,-2,-1,Move left.,openrouter_large
21,0.0,False,False,-2,-3,-1,Move left.,openrouter_large
22,0.0,False,False,-3,-4,-1,Move left.,openrouter_large
23,0.0,False,False,-4,-5,-1,Move left.,openrouter_large
24,0.0,False,False,-5,-6,-1,Move left.,openrouter_large
25,0.0,False,False,-6,-7,-1,Move left.,openrouter_large
26,0.0,False,False,-7,-8,-1,Move left.,openrouter_large
27,0.0,False,False,-8,-9,-1,Move left.,openrouter_large
28,0.0,False,False,-9,-10,-1,Move left.,openrouter_large
29,0.0,False,False,-10,-9,1,Move left.,openrouter_large
30,0.0,False,False,-9,-8,1,Move right.,openrouter_large
31,0.0,False,False,-8,-7,1,Move right.,openrouter_large
32,0.0,False,False,-7,-6,1,Move right.,openrouter_large
33,0.0,False,False,-6,-5,1,Move right.,openrouter_large
34,0.0,False,False,-5,-4,1,Move right.,openrouter_large
35,0.0,False,False,-4,-3,1,Move right.,openrouter_large
36,0.0,False,False,-3,-2,1,Move right.,openrouter_large
37,0.0,False,False,-2,-1,1,Move right.,openrouter_large
38,0.0,False,False,-1,0,1,Move right.,openrouter_large
39,0.0,False,False,0,1,1,Move right.,openrouter_large
40,0.0,False,False,1,2,1,Move right.,openrouter_large
41,0.0,False,False,2,3,1,Move right.,openrouter_large
42,0.0,False,False,3,4,1,Move right.,openrouter_large
43,0.0,False,False,4,5,1,Move right.,openrouter_large
44,0.0,False,False,5,6,1,Move right.,openrouter_large
45,0.0,False,False,6,7,1,Move right.,openrouter_large
46,0.0,False,False,7,8,1,Move right.,openrouter_large
47,0.0,False,False,8,9,1,Move right.,openrouter_large
48,0.0,False,False,9,10,1,Move right.,openrouter_large
49,0.0,False,False,10,9,-1,Move right.,openrouter_large
50,0.0,False,False,9,8,-1,Move left.,openrouter_large
51,0.0,False,False,8,7,-1,Move left.,openrouter_large
52,0.0,False,False,7,6,-1,Move left.,openrouter_large
53,0.0,False,False,6,5,-1,Move left.,openrouter_large
54,0.0,False,False,5,4,-1,Move left.,openrouter_large
55,0.0,False,False,4,3,-1,Move left.,openrouter_large
56,0.0,False,False,3,2,-1,Move left.,openrouter_large
57,0.0,False,False,2,1,-1,Move left.,openrouter_large
58,0.0,False,False,1,0,-1,Move left.,openrouter_large
59,0.0,False,False,0,-1,-1,Move left.,openrouter_large
60,0.0,False,False,-1,-2,-1,Move left.,openrouter_large
61,0.0,False,False,-2,-3,-1,Move left.,openrouter_large
62,0.0,False,False,-3,-4,-1,Move left.,openrouter_large
63,0.0,False,False,-4,-5,-1,Move left.,openrouter_large
64,0.0,False,False,-5,-6,-1,Move left.,openrouter_large
65,0.0,False,False,-6,-7,-1,Move left.,openrouter_large
66,0.0,False,False,-7,-8,-1,Move left.,openrouter_large
67,0.0,False,False,-8,-9,-1,Move left.,openrouter_large
68,0.0,False,False,-9,-10,-1,Move left.,openrouter_large
69,0.0,False,False,-10,-9,1,Move left.,openrouter_large
70,0.0,False,False,-9,-8,1,Move right.,openrouter_large
71,0.0,False,False,-8,-7,1,Move right.,openrouter_large
72,0.0,False,False,-7,-6,1,Move right.,openrouter_large
73,0.0,False,False,-6,-5,1,Move right.,openrouter_large
74,0.0,False,False,-5,-4,1,Move right.,openrouter_large
75,0.0,False,False,-4,-3,1,Move right.,openrouter_large
76,0.0,False,False,-3,-2,1,Move right.,openrouter_large
77,0.0,False,False,-2,-1,1,Move right.,openrouter_large
78,0.0,False,False,-1,0,1,Move right.,openrouter_large
79,0.0,False,False,0,1,1,Move right.,openrouter_large
80,0.0,False,False,1,2,1,Move right.,openrouter_large
81,0.0,False,False,2,3,1,Move right.,openrouter_large
