step,game_name,model_mode,observations,actions,selection_info,joint_actions,payoffs,rewards,infos,terminations,truncations
0,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nYOU ARE: Agent A\nSTEP: 0/50 (steps remaining: 50)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nYOU ARE: Agent B\nSTEP: 0/50 (steps remaining: 50)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Stravinsky."", ""Agent B"": ""Choose action: Stravinsky.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}","{""Agent A"": 2.0, ""Agent B"": 3.0}","{""Agent A"": 2.0, ""Agent B"": 3.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 1, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 2.0, ""Agent B"": 3.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 1, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 2.0, ""Agent B"": 3.0}}}}","[false, false]","[false, false]"
1,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +2.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Stravinsky\n  your payoff: +2.0 | Agent B payoff: +3.0\n\nYOU ARE: Agent A\nSTEP: 1/50 (steps remaining: 49)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +3.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Stravinsky\n  your payoff: +3.0 | Agent A payoff: +2.0\n\nYOU ARE: Agent B\nSTEP: 1/50 (steps remaining: 49)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Bach."", ""Agent B"": ""Choose action: Stravinsky.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 2, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 2, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
2,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Bach, Agent B: Stravinsky\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nYOU ARE: Agent A\nSTEP: 2/50 (steps remaining: 48)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Bach, Agent B: Stravinsky\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nYOU ARE: Agent B\nSTEP: 2/50 (steps remaining: 48)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Stravinsky."", ""Agent B"": ""Choose action: Stravinsky.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}","{""Agent A"": 2.0, ""Agent B"": 3.0}","{""Agent A"": 2.0, ""Agent B"": 3.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 3, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 2.0, ""Agent B"": 3.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 3, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 2.0, ""Agent B"": 3.0}}}}","[false, false]","[false, false]"
3,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +2.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Stravinsky\n  your payoff: +2.0 | Agent B payoff: +3.0\n\nYOU ARE: Agent A\nSTEP: 3/50 (steps remaining: 47)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +3.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Stravinsky\n  your payoff: +3.0 | Agent A payoff: +2.0\n\nYOU ARE: Agent B\nSTEP: 3/50 (steps remaining: 47)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Stravinsky."", ""Agent B"": ""Choose action: Stravinsky.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}","{""Agent A"": 2.0, ""Agent B"": 3.0}","{""Agent A"": 2.0, ""Agent B"": 3.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 4, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 2.0, ""Agent B"": 3.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 4, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 2.0, ""Agent B"": 3.0}}}}","[false, false]","[false, false]"
4,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +2.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Stravinsky\n  your payoff: +2.0 | Agent B payoff: +3.0\n\nYOU ARE: Agent A\nSTEP: 4/50 (steps remaining: 46)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +3.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Stravinsky\n  your payoff: +3.0 | Agent A payoff: +2.0\n\nYOU ARE: Agent B\nSTEP: 4/50 (steps remaining: 46)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Stravinsky."", ""Agent B"": ""Choose action: Bach.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 5, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 5, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
5,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Bach\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nYOU ARE: Agent A\nSTEP: 5/50 (steps remaining: 45)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Bach\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nYOU ARE: Agent B\nSTEP: 5/50 (steps remaining: 45)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Bach."", ""Agent B"": ""Choose action: Bach.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Bach"", ""Agent B"": ""Bach""}","{""Agent A"": 3.0, ""Agent B"": 2.0}","{""Agent A"": 3.0, ""Agent B"": 2.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 6, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Bach"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Bach"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 3.0, ""Agent B"": 2.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 6, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Bach"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Bach"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 3.0, ""Agent B"": 2.0}}}}","[false, false]","[false, false]"
6,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +3.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Bach, Agent B: Bach\n  your payoff: +3.0 | Agent B payoff: +2.0\n\nYOU ARE: Agent A\nSTEP: 6/50 (steps remaining: 44)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +2.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Bach, Agent B: Bach\n  your payoff: +2.0 | Agent A payoff: +3.0\n\nYOU ARE: Agent B\nSTEP: 6/50 (steps remaining: 44)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Bach."", ""Agent B"": ""Choose action: Bach.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Bach"", ""Agent B"": ""Bach""}","{""Agent A"": 3.0, ""Agent B"": 2.0}","{""Agent A"": 3.0, ""Agent B"": 2.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 7, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Bach"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Bach"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 3.0, ""Agent B"": 2.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 7, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Bach"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Bach"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 3.0, ""Agent B"": 2.0}}}}","[false, false]","[false, false]"
7,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +3.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Bach, Agent B: Bach\n  your payoff: +3.0 | Agent B payoff: +2.0\n\nYOU ARE: Agent A\nSTEP: 7/50 (steps remaining: 43)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +2.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Bach, Agent B: Bach\n  your payoff: +2.0 | Agent A payoff: +3.0\n\nYOU ARE: Agent B\nSTEP: 7/50 (steps remaining: 43)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Bach."", ""Agent B"": ""Choose action: Stravinsky.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 8, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 8, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Bach"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
8,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Bach, Agent B: Stravinsky\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nYOU ARE: Agent A\nSTEP: 8/50 (steps remaining: 42)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Bach, Agent B: Stravinsky\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nYOU ARE: Agent B\nSTEP: 8/50 (steps remaining: 42)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Stravinsky."", ""Agent B"": ""Choose action: Stravinsky.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}","{""Agent A"": 2.0, ""Agent B"": 3.0}","{""Agent A"": 2.0, ""Agent B"": 3.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 9, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 2.0, ""Agent B"": 3.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 9, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Stravinsky""}, ""payoffs"": {""Agent A"": 2.0, ""Agent B"": 3.0}}}}","[false, false]","[false, false]"
9,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +2.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Stravinsky\n  your payoff: +2.0 | Agent B payoff: +3.0\n\nYOU ARE: Agent A\nSTEP: 9/50 (steps remaining: 41)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +3.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Stravinsky\n  your payoff: +3.0 | Agent A payoff: +2.0\n\nYOU ARE: Agent B\nSTEP: 9/50 (steps remaining: 41)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Stravinsky."", ""Agent B"": ""Choose action: Bach.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 10, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 10, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
10,Bach or Stravinsky,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Bach\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nYOU ARE: Agent A\nSTEP: 10/50 (steps remaining: 40)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: Stravinsky, Agent B: Bach\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nYOU ARE: Agent B\nSTEP: 10/50 (steps remaining: 40)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: Bach.\n  [1] Choose action: Stravinsky.""}","{""Agent A"": ""Choose action: Stravinsky."", ""Agent B"": ""Choose action: Bach.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 11, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 11, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""Stravinsky"", ""Agent B"": ""Bach""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
