step,game_name,model_mode,observations,actions,selection_info,joint_actions,payoffs,rewards,infos,terminations,truncations
0,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nSTEP: 0/50 (steps remaining: 50)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nSTEP: 0/50 (steps remaining: 50)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: A.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""A""}","{""Agent A"": 4.0, ""Agent B"": 4.0}","{""Agent A"": 4.0, ""Agent B"": 4.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 1, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 4.0, ""Agent B"": 4.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 1, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 4.0, ""Agent B"": 4.0}}}}","[false, false]","[false, false]"
1,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +4.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: A\n  your payoff: +4.0 | Agent B payoff: +4.0\n\nSTEP: 1/50 (steps remaining: 49)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +4.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: A\n  your payoff: +4.0 | Agent A payoff: +4.0\n\nSTEP: 1/50 (steps remaining: 49)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: A.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""A""}","{""Agent A"": 4.0, ""Agent B"": 4.0}","{""Agent A"": 4.0, ""Agent B"": 4.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 2, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 4.0, ""Agent B"": 4.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 2, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 4.0, ""Agent B"": 4.0}}}}","[false, false]","[false, false]"
2,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +4.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: A\n  your payoff: +4.0 | Agent B payoff: +4.0\n\nSTEP: 2/50 (steps remaining: 48)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +4.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: A\n  your payoff: +4.0 | Agent A payoff: +4.0\n\nSTEP: 2/50 (steps remaining: 48)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: B.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""B""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 3, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 3, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
3,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: B\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 3/50 (steps remaining: 47)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: B\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 3/50 (steps remaining: 47)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: B.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""B""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 4, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 4, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
4,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: B\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 4/50 (steps remaining: 46)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: B\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 4/50 (steps remaining: 46)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: B."", ""Agent B"": ""Choose action: A.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""B"", ""Agent B"": ""A""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 5, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""B"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""B"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 5, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""B"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""B"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
5,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: B, Agent B: A\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 5/50 (steps remaining: 45)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: B, Agent B: A\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 5/50 (steps remaining: 45)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: B."", ""Agent B"": ""Choose action: A.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""B"", ""Agent B"": ""A""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 6, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""B"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""B"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 6, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""B"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""B"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
6,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: B, Agent B: A\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 6/50 (steps remaining: 44)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: B, Agent B: A\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 6/50 (steps remaining: 44)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: A.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""A""}","{""Agent A"": 4.0, ""Agent B"": 4.0}","{""Agent A"": 4.0, ""Agent B"": 4.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 7, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 4.0, ""Agent B"": 4.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 7, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 4.0, ""Agent B"": 4.0}}}}","[false, false]","[false, false]"
7,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +4.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: A\n  your payoff: +4.0 | Agent B payoff: +4.0\n\nSTEP: 7/50 (steps remaining: 43)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +4.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: A\n  your payoff: +4.0 | Agent A payoff: +4.0\n\nSTEP: 7/50 (steps remaining: 43)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: A.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""A""}","{""Agent A"": 4.0, ""Agent B"": 4.0}","{""Agent A"": 4.0, ""Agent B"": 4.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 8, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 4.0, ""Agent B"": 4.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 8, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""A""}, ""payoffs"": {""Agent A"": 4.0, ""Agent B"": 4.0}}}}","[false, false]","[false, false]"
8,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +4.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: A\n  your payoff: +4.0 | Agent B payoff: +4.0\n\nSTEP: 8/50 (steps remaining: 42)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +4.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: A\n  your payoff: +4.0 | Agent A payoff: +4.0\n\nSTEP: 8/50 (steps remaining: 42)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: B.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""B""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 9, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 9, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
9,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: B\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 9/50 (steps remaining: 41)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: B\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 9/50 (steps remaining: 41)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: B.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""B""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 10, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 10, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
10,Rationalizable Coordination,random_action,"{""Agent A"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: B\n  your payoff: +0.0 | Agent B payoff: +0.0\n\nSTEP: 10/50 (steps remaining: 40)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B."", ""Agent B"": ""REWARD THIS TURN: +0.0\n\nLAST ROUND RESULT:\n  actions: Agent A: A, Agent B: B\n  your payoff: +0.0 | Agent A payoff: +0.0\n\nSTEP: 10/50 (steps remaining: 40)\n\nAVAILABLE ACTIONS:\n  [0] Choose action: A.\n  [1] Choose action: B.""}","{""Agent A"": ""Choose action: A."", ""Agent B"": ""Choose action: B.""}","{""Agent A"": {""policy"": ""random""}, ""Agent B"": {""policy"": ""random""}}","{""Agent A"": ""A"", ""Agent B"": ""B""}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": 0.0, ""Agent B"": 0.0}","{""Agent A"": {""action_success"": true, ""action_info"": {""step_count"": 11, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}, ""Agent B"": {""action_success"": true, ""action_info"": {""step_count"": 11, ""votes_received"": 2, ""votes_needed"": 2, ""current_votes"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""vote_status"": ""resolved"", ""joint_actions"": {""Agent A"": ""A"", ""Agent B"": ""B""}, ""payoffs"": {""Agent A"": 0.0, ""Agent B"": 0.0}}}}","[false, false]","[false, false]"
